Date,SPY US Equity,80,90,95,97.5,100,102.5,105,110,120,Dividends,USGG1M Index,Spot
2005-04-05,118.6557108748102,17.12188,17.1219,15.0869,13.7593,12.2892,11.8393,11.5121,10.828,10.71363,0.017513833641854624,2.589452,118.19
2005-04-06,119.0673264214611,16.97669,16.9767,14.8377,13.4449,11.89,11.4458,11.1094,10.404,10.29281,0.017453288348489023,2.589268,118.6
2005-04-07,119.7098482503796,16.40131,16.4013,14.3119,12.9418,11.4082,10.9252,10.556,9.7759,9.647625,0.017359610853159995,2.600549,119.24
2005-04-08,118.46496220685,17.137,17.137,15.0699,13.569,11.88,11.1362,10.8257,10.1762,9.999875,0.01754203388246439,2.589819,118.0
2005-04-11,118.5553168390417,16.86081,16.8608,14.7384,13.3321,11.7589,11.2931,10.9852,10.3419,10.22913,0.017528664562035716,2.579464,118.09
2005-04-12,119.1677204572296,16.5585,16.5585,14.2388,12.7702,11.1092,10.7788,10.4473,9.7506,9.673313,0.017438584651481025,2.589452,118.7
2005-04-13,117.7622039564704,17.56962,17.5696,15.2176,13.7108,12.0164,11.6722,11.385,10.7875,10.70969,0.01764671780162658,2.609607,117.3
2005-04-14,116.2261752092121,19.51031,19.5103,17.2042,15.562,13.7247,13.121,12.9998,12.7538,12.69269,0.01787993433644984,2.631083,115.77
2005-04-15,114.5997918297621,21.6625,21.6625,19.0111,17.2871,15.3711,15.0015,14.7989,14.3852,14.32031,0.01813368373307751,2.630514,114.15
2005-04-18,114.9511709549519,21.25569,21.2557,18.4709,16.7033,14.7249,14.3444,14.0103,13.3169,13.23131,0.01807825325878426,2.620152,114.5
2005-04-19,115.8647566804454,19.486,19.486,16.7206,14.9987,13.1055,12.8384,12.5657,12.0018,11.95138,0.017935707461492055,2.67082,115.41
2005-04-20,114.2484127045723,22.78719,22.7872,19.5901,17.4891,15.0984,14.469,13.9827,12.9554,12.80013,0.018189455168108944,2.609607,113.8
2005-04-21,116.4671208950565,18.98181,18.9818,16.4736,14.7609,12.8214,12.1233,11.6789,10.7352,10.54488,0.01784294455763122,2.570015,116.01
2005-04-22,116.025387137675,20.53769,20.5377,17.7532,15.9137,13.8317,13.1566,12.6253,11.4894,11.30281,0.01791087650887599,2.589819,115.57
2005-04-25,116.7883818095158,19.98412,19.9841,17.1263,15.2487,13.1048,12.5064,12.0174,10.9741,10.81869,0.017793862272249616,2.620152,116.33
2005-04-26,115.6539292053315,20.54413,20.5441,17.7361,15.8744,13.7633,13.0579,12.5031,11.3122,11.11288,0.017968402761552066,2.650477,115.2
2005-04-27,116.1057023662899,20.27169,20.2717,17.4128,15.5172,13.3553,12.6816,12.1518,11.0158,10.83213,0.017898486797499332,2.579099,115.65
2005-04-28,114.6499888476464,21.6385,21.6385,19.0134,17.2933,15.3819,14.668,14.095,12.8727,12.66213,0.01812574429186338,2.580193,114.2
2005-04-29,116.2060964020584,21.13081,21.1308,18.2923,16.4227,14.311,13.5944,13.0116,11.7597,11.55531,0.01788302374195074,2.671211,115.75
2005-05-02,116.8586576345537,20.61463,20.6146,17.8139,15.9851,13.9179,13.264,12.7119,11.5287,11.34888,0.017783161495969053,2.640497,116.4
2005-05-03,117.0594457060908,20.16337,20.1634,17.418,15.6451,13.6438,13.0213,12.4589,11.2499,11.08088,0.017752658646061733,2.569111,116.6
2005-05-04,117.9629920280074,19.78619,19.7862,16.8906,14.9474,12.7105,12.2643,12.036,11.5657,11.4895,0.01761668083515573,2.446912,117.5
2005-05-05,117.9228344137,19.29669,19.2967,16.5922,14.817,12.798,12.1689,11.6409,10.5058,10.33263,0.017622680045383945,2.580193,117.46
2005-05-06,117.5513764813565,19.12563,19.1256,16.4915,14.7226,12.7097,12.0111,11.4938,10.3821,10.18219,0.017678367052103492,2.630514,117.09
2005-05-09,118.2842529424667,18.44462,18.4446,15.9088,14.2584,12.3901,11.8466,11.3852,10.4013,10.258,0.017568833798428093,2.579464,117.82
2005-05-10,117.0594457060908,19.56488,19.5649,17.0895,15.4842,13.6921,12.9566,12.2911,10.8381,10.60781,0.017752658646061733,2.558941,116.6
2005-05-11,117.7019675350093,19.33231,19.3323,16.7436,15.0759,13.199,12.4812,11.7997,10.3022,10.088,0.017655748875220045,2.548593,117.24
2005-05-12,116.4068844735954,21.13869,21.1387,18.2675,16.4863,14.5235,13.8981,13.2432,11.825,11.68838,0.017852177646664923,2.549661,115.95
2005-05-13,116.1759781913278,22.01831,22.0183,19.1536,17.3124,15.2506,14.4108,13.6097,11.8459,11.5895,0.01788765985249566,2.437233,115.72
2005-05-16,117.2602337776278,20.9805,20.9805,18.0242,16.1373,13.9984,13.3899,12.7894,11.4948,11.33769,0.01772226025796916,2.40656,116.8
2005-05-17,118.0433072566222,20.67519,20.6752,17.5611,15.5593,13.2587,12.6238,11.9799,10.5752,10.40931,0.01760469466006802,2.41657,117.58
2005-05-18,119.2580750894213,19.80888,19.8089,16.6027,14.4985,12.0319,11.3518,10.6875,9.2165,9.0285,0.01742537249036786,2.406243,118.79
2005-05-19,119.7600452682639,18.78113,18.7811,15.8379,13.9525,11.7845,11.2179,10.6211,9.3135,9.174313,0.017352334630990007,2.590371,119.29
2005-05-20,119.5893754074574,19.09919,19.0992,16.0083,13.9074,11.4267,10.7911,10.3462,9.3934,9.239813,0.017377098708284064,2.640688,119.12
2005-05-23,120.2519760435296,18.91262,18.9126,15.6609,13.5418,11.0485,10.5704,10.0696,8.9846,8.872,0.01728134912448487,2.640497,119.78
2005-05-24,119.9708727433778,18.70688,18.7069,15.5519,13.4621,10.9815,10.4676,9.9947,8.9746,8.8465,0.017321840988542243,2.680992,119.5
2005-05-25,119.8805181111861,18.52663,18.5266,15.358,13.3095,10.9369,10.518,10.0817,9.1468,9.057813,0.017334896559172582,2.690965,119.41
2005-05-26,120.5230399401046,17.14719,17.1472,14.3806,12.5794,10.4728,10.0412,9.614,8.6968,8.590188,0.01724248228347187,2.753235,120.05
2005-05-27,120.7238280116416,17.5235,17.5235,14.4961,12.5865,10.4859,10.0782,9.6533,8.7418,8.682188,0.017213804558260274,2.74223,120.25
2005-05-31,119.9507939362241,18.55131,18.5513,15.5359,13.6392,11.5426,11.0913,10.6209,9.6112,9.534125,0.017324740526705705,2.762161,119.48
2005-06-01,120.9748131010629,18.06319,18.0632,14.8778,12.8441,10.5617,10.206,9.8374,9.0554,8.998,0.017178091270795004,2.772332,120.5
2005-06-02,121.2358375940611,16.50769,16.5077,13.8658,12.2141,10.4087,10.0575,9.6935,8.9212,8.865375,0.017141106311119557,2.802631,120.76
2005-06-03,120.6234339758731,16.72538,16.7254,14.1514,12.5639,10.8684,10.5653,10.2533,9.5988,9.556688,0.017228131486731565,2.783139,120.15
2005-06-06,120.5130005365278,16.89769,16.8977,14.2911,12.6706,10.9071,10.5185,10.1149,9.2552,9.191625,0.01724391867819725,2.793102,120.04
2005-06-07,120.6033551687194,16.47313,16.4731,14.0037,12.506,10.9458,10.5716,10.1837,9.3598,9.3175,0.017230999734710713,2.803061,120.13
2005-06-08,120.3824882900287,17.37081,17.3708,14.7048,13.0654,11.3188,10.9358,10.5389,9.6964,9.644,0.017262613611298456,2.813018,119.91
2005-06-09,120.9547342939092,16.48913,16.4891,14.0324,12.5217,10.9075,10.5797,10.2414,9.5289,9.480688,0.017180942879571694,2.793957,120.48
2005-06-10,120.6736309937574,16.20431,16.2043,13.7939,12.3135,10.7487,10.625,10.4999,10.245,10.2285,0.017220965042685506,2.783139,120.2
2005-06-13,121.0551283296777,16.5575,16.5575,13.9118,12.281,10.5544,10.277,9.9918,9.3955,9.362125,0.017166694295329226,2.772753,120.58
2005-06-14,121.3362316298296,16.75631,16.7563,14.0089,12.2886,10.4279,10.3376,10.2465,10.0617,10.0495,0.017126923697921546,2.762369,120.86
2005-06-15,121.5671379120972,16.22788,16.2279,13.6043,11.9596,10.1605,9.9136,9.6605,9.1331,9.095125,0.01709439258510858,2.772332,121.09
2005-06-16,121.8783594229796,15.66663,15.6666,13.1533,11.5779,9.8534,9.619,9.3787,8.8786,8.841875,0.017050741335509042,2.743055,121.4
2005-06-17,122.3277432058866,15.135,15.135,12.973,11.5419,9.9061,9.5501,9.3168,8.8316,8.757125,0.01672819155280445,2.772964,121.36
2005-06-20,122.3680621720059,16.69138,16.6914,14.0487,12.2586,10.1578,9.7887,9.612,9.2486,9.191625,0.01672267979282,2.772753,121.4
